City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,nuuk,64.1835,-51.7216,281.49,81,0,3.09,GL,1691429620
83,cabanglasan,8.1214,125.3275,293.76,97,94,1.37,PH,1691429856
84,lospalos,-8.5186,127.0025,292.78,81,55,3.11,TL,1691429857
85,klyuchi,52.2667,79.1667,291.47,44,0,3.38,RU,1691429857
86,zelenogorsk,56.1147,94.5861,288.6,75,30,1.39,RU,1691429857
87,rouissat,31.9243,5.3502,313.19,13,0,4.63,DZ,1691429858
88,aridaia,40.9731,22.0564,300.79,32,53,0.42,GR,1691429858
89,iqaluit,63.7506,-68.5145,283.0,76,20,3.09,CA,1691429859
90,tughyl,47.7252,84.2063,293.04,74,70,4.18,KZ,1691429859
91,chengdu,30.6667,104.0667,301.09,78,0,1.0,CN,1691429860
92,dunedin,-45.8742,170.5036,277.48,80,100,4.92,NZ,1691429689
93,vargashi,55.3556,65.8467,292.25,58,70,2.48,RU,1691429860
94,bandarban,22.1965,92.2262,300.99,98,100,2.0,BD,1691429861
95,port douglas,-16.4833,145.4667,294.02,81,86,7.73,AU,1691429861
96,nagqu,31.5,92.0,279.47,87,100,1.02,CN,1691429862
97,port mathurin,-19.6833,63.4167,295.65,65,86,10.88,MU,1691429692
98,quepos,9.4236,-84.1652,300.32,85,100,2.08,CR,1691429862
99,wotho,10.1657,166.0102,300.48,82,100,4.29,MH,1691429863
100,kalawit,8.0667,122.5167,298.31,88,29,1.93,PH,1691429863
101,cabo san lucas,22.8909,-109.9124,308.49,68,20,3.09,MX,1691429609
102,tralee,52.2704,-9.7026,289.29,77,40,4.63,IE,1691429864
103,the pas,53.8251,-101.2541,291.16,77,0,3.6,CA,1691429865
104,kruisfontein,-34.0033,24.7314,289.75,93,0,1.46,ZA,1691429865
105,kuala perlis,6.4,100.1333,301.14,79,100,5.65,MY,1691429865
106,san patricio,28.017,-97.5169,309.55,36,1,7.41,US,1691429866
107,lautoka,-17.6167,177.4667,293.07,88,40,3.09,FJ,1691429866
108,usogorsk,63.4106,48.6872,286.84,82,3,2.33,RU,1691429867
109,katabu,-4.9333,122.5167,294.57,89,6,1.77,ID,1691429867
110,tharangambadi,11.0319,79.8528,301.67,78,96,7.5,IN,1691429868
111,bosaso,11.2842,49.1816,303.92,70,6,3.03,SO,1691429868
112,nyandoma,61.669,40.1991,292.17,82,16,2.58,RU,1691429868
113,qaqortoq,60.7167,-46.0333,280.14,79,27,2.33,GL,1691429869
114,nouadhibou,20.931,-17.0347,298.14,65,0,6.69,MR,1691429869
115,bodo,67.28,14.405,287.47,97,75,2.57,NO,1691429870
116,damboa,11.156,12.7576,299.87,67,99,1.9,NG,1691429870
117,viedma,-40.8135,-62.9967,284.4,26,1,3.06,AR,1691429871
118,enewetak,11.3474,162.3373,299.4,88,99,8.88,MH,1691429871
119,holualoa,19.6228,-155.9522,299.74,72,0,3.09,US,1691429871
120,pudozh,61.8099,36.5345,296.6,81,1,3.46,RU,1691429872
121,greymouth,-42.4667,171.2,282.8,69,66,6.86,NZ,1691429872
122,mugia,43.1041,-9.2179,304.77,82,0,14.24,ES,1691429873
123,tura,25.5198,90.2201,297.12,98,100,1.75,IN,1691429873
124,talnakh,69.4865,88.3972,290.49,56,40,1.55,RU,1691429874
125,itoman,26.1247,127.6694,300.36,94,100,10.29,JP,1691429874
126,puerto armuelles,8.2833,-82.8667,301.14,91,98,1.34,PA,1691429874
127,launceston,-41.45,147.1667,279.9,100,100,1.03,AU,1691429875
128,christchurch,-43.5333,172.6333,276.45,81,68,3.6,NZ,1691429875
129,karratha,-20.7377,116.8463,295.81,75,3,3.47,AU,1691429876
130,bardai,11.65,7.2333,296.87,83,88,3.53,NG,1691429876
131,skien,59.2075,9.6105,288.7,95,100,4.52,NO,1691429877
132,uturoa,-16.7333,-151.4333,298.95,75,100,4.38,PF,1691429877
133,lebu,-37.6167,-73.65,285.91,69,100,1.94,CL,1691429877
134,tabalah,19.95,42.4,308.73,21,26,5.06,SA,1691429878
135,colonia,50.9333,6.95,292.57,63,40,5.14,DE,1691429763
136,kodiak,57.79,-152.4072,285.88,94,100,4.63,US,1691429879
137,qamdo,31.1667,97.2333,279.48,80,55,1.43,CN,1691429879
138,jinchang,38.4953,102.1739,298.67,40,88,1.96,CN,1691429879
139,primorskiy,43.0983,131.5875,289.68,97,100,1.12,RU,1691429880
140,tazacorte,28.629,-17.9293,298.79,72,75,3.13,ES,1691429880
141,nyurba,63.2842,118.3319,286.85,72,81,2.18,RU,1691429881
142,albany,42.6001,-73.9662,295.69,88,100,1.34,US,1691429647
143,sitka,57.0531,-135.33,289.09,82,40,1.54,US,1691429882
144,jalai nur,49.45,117.7,288.33,82,100,1.57,CN,1691429883
145,karema,-6.8205,30.4389,298.76,64,1,4.79,TZ,1691429883
146,morehead city,34.7229,-76.726,306.49,76,0,6.17,US,1691429883
147,rio grande,-32.035,-52.0986,288.21,67,75,8.26,BR,1691429628
148,buritis,-15.6178,-46.4233,306.11,17,0,1.06,BR,1691429884
149,sandnessjoen,66.0217,12.6316,287.44,94,75,6.17,NO,1691429885
150,birendranagar,28.6019,81.6339,296.38,94,77,1.03,NP,1691429885
151,melfort,52.8667,-104.6177,291.22,55,95,2.57,CA,1691429886
152,lakatoro,-16.0999,167.4164,294.92,88,100,1.62,VU,1691429886
153,stanley,54.868,-1.6985,289.7,69,20,7.2,GB,1691429653
154,whitehorse,60.7161,-135.0538,291.93,63,75,5.66,CA,1691429812
155,bhola,22.6833,90.65,299.86,90,100,3.45,BD,1691429888
156,barra de santo antonio,-9.4047,-35.5072,299.75,78,56,5.06,BR,1691429889
157,walvis bay,-22.9575,14.5053,298.68,19,0,3.6,NA,1691429889
158,hassi messaoud,31.6804,6.0729,313.07,11,0,4.12,DZ,1691429890
159,changji,44.0167,87.3167,301.59,39,0,3.0,CN,1691429716
160,geraldton,-28.7667,114.6,291.38,82,100,4.63,AU,1691429891
161,koltushi,59.9297,30.6447,303.05,58,0,5.91,RU,1691429891
162,carnarvon,-24.8667,113.6333,293.47,79,20,2.67,AU,1691429892
163,ilulissat,69.2167,-51.1,284.16,46,20,2.06,GL,1691429892
164,afaahiti,-17.75,-149.2833,298.08,78,93,6.22,PF,1691429893
165,mazatlan,23.2167,-106.4167,305.88,79,40,2.57,MX,1691429703
166,ochakiv,46.6128,31.5498,299.97,38,16,5.69,UA,1691429894
167,new norfolk,-42.7826,147.0587,280.77,98,55,1.29,AU,1691429894
168,coahuayana de hidalgo,18.7,-103.6583,307.26,46,39,2.08,MX,1691429895
169,deschutes river woods,43.9915,-121.3584,293.87,66,0,2.06,US,1691429896
170,broken hill,-31.95,141.4333,280.44,66,36,3.17,AU,1691429896
171,skanes,35.7833,10.8,305.16,54,20,5.14,TN,1691429897
172,santiago de chuco,-8.15,-78.1833,293.08,34,13,5.99,PE,1691429897
173,salinopolis,-0.6136,-47.3561,300.82,80,98,6.02,BR,1691429897
174,puerto aysen,-45.4,-72.7,279.17,81,0,0.0,CL,1691429898
175,grand island,40.925,-98.342,297.31,57,0,2.57,US,1691429671
176,rawah,34.4816,41.9093,308.15,12,0,4.72,IQ,1691429899
177,mahibadhoo,3.7833,72.9667,300.9,79,60,4.98,MV,1691429899
178,moyamba,8.1667,-12.4333,296.45,97,100,1.38,SL,1691429900
179,urzhar,47.093,81.6294,293.44,76,96,2.4,KZ,1691429900
180,howard springs,-12.497,131.047,297.1,72,35,4.89,AU,1691429901
181,islamkot,24.6997,70.177,301.16,76,61,10.22,PK,1691429901
182,petoskey,45.3733,-84.9553,299.16,51,0,4.02,US,1691429781
183,yigo village,13.5361,144.8886,299.77,90,75,2.06,GU,1691429902
184,hawaiian paradise park,19.5933,-154.9731,299.2,96,20,2.06,US,1691429903
185,manali,13.1667,80.2667,304.2,81,100,5.27,IN,1691429903
186,teignmouth,50.5477,-3.4964,292.25,76,99,4.87,GB,1691429904
187,oyem,1.5995,11.5793,295.68,78,90,1.34,GA,1691429904
188,kudahuvadhoo,2.6708,72.8944,301.04,77,71,4.84,MV,1691429905
189,santa maria,-29.6842,-53.8069,285.76,88,100,3.6,BR,1691429673
190,longyearbyen,78.2186,15.6401,282.06,87,75,1.54,SJ,1691429906
191,antsiranana,-12.2787,49.2917,295.74,76,24,6.22,MG,1691429906
192,port alfred,-33.5906,26.891,289.92,92,3,0.89,ZA,1691429907
193,muisne,0.6,-80.0333,300.0,78,99,5.45,EC,1691429907
194,nelson bay,-32.7167,152.15,286.48,98,10,4.02,AU,1691429908
195,hammerfest,70.6634,23.6821,291.4,72,75,2.57,NO,1691429908
196,amga,60.8953,131.9608,283.59,51,15,2.08,RU,1691429908
197,carauari,-4.8828,-66.8958,309.48,36,98,0.97,BR,1691429909
198,shingu,33.7333,135.9833,299.85,93,96,5.04,JP,1691429909
199,vila franca do campo,37.7167,-25.4333,297.38,61,84,1.73,PT,1691429910
200,machico,32.7,-16.7667,301.0,77,75,1.54,PT,1691429910
201,kerikeri,-35.2268,173.9474,282.34,90,37,2.74,NZ,1691429911
202,gereida,11.2811,25.1414,296.98,87,99,5.8,SD,1691429911
203,susuman,62.7833,148.1667,275.16,75,100,1.64,RU,1691429912
204,kampong speu,11.5,104.3333,298.33,83,100,2.76,KH,1691429912
205,fortuna,40.5982,-124.1573,293.9,92,100,4.12,US,1691429913
206,kharabali,47.4196,47.2568,304.2,24,0,4.88,RU,1691429913
207,isafjordur,66.0755,-23.124,288.17,55,20,1.54,IS,1691429913
208,tambopata,-12.7333,-69.1833,307.09,49,40,3.09,PE,1691429914
209,revda,56.801,59.9303,288.36,94,0,1.33,RU,1691429914
210,ta`u,-14.2336,-169.5144,299.73,78,64,3.02,AS,1691429915
211,namtsy,62.7161,129.6658,283.61,69,20,1.06,RU,1691429915
212,vilyuysk,63.7553,121.6247,287.4,74,2,1.88,RU,1691429916
213,acapulco de juarez,16.8634,-99.8901,304.05,66,20,1.54,MX,1691429749
214,medford,42.3265,-122.8756,299.4,55,0,0.89,US,1691429854
215,aquin,18.2833,-73.4,304.34,65,3,3.26,HT,1691429917
216,al hada,21.3675,40.2869,299.81,19,0,2.28,SA,1691429917
217,manati,18.4275,-66.4921,307.14,85,46,6.96,PR,1691429918
218,barah,13.7,30.3667,303.6,46,58,2.97,SD,1691429918
219,papao,-17.75,-149.55,298.97,75,100,5.67,PF,1691429919
220,huicheng,23.0385,116.2899,300.32,86,94,2.09,CN,1691429919
221,vadso,70.0744,29.7487,294.64,72,0,3.6,NO,1691429919
222,naama,33.2667,-0.3167,309.78,8,1,8.03,DZ,1691429920
223,yuzhno-kurilsk,44.0306,145.8556,287.5,92,98,4.61,RU,1691429920
224,sukumo,32.9333,132.7333,299.45,96,100,5.92,JP,1691429921
225,chonchi,-42.6128,-73.8092,285.71,63,96,1.6,CL,1691429921
226,quito,-0.2299,-78.5249,292.68,82,100,3.53,EC,1691429922
227,constantia,44.1833,28.65,300.76,65,1,5.66,RO,1691429645
228,kingston,17.997,-76.7936,307.73,66,40,10.29,JM,1691429645
229,ola,59.5833,151.2833,281.12,53,22,4.49,RU,1691429923
230,akhty,41.4597,47.7312,295.1,73,8,2.22,RU,1691429923
231,new plymouth,-39.0667,174.0833,281.93,73,100,4.33,NZ,1691429924
232,mesyagutovo,55.5303,58.2528,291.2,89,65,1.78,RU,1691429924
233,madimba,-10.4,40.3333,296.37,80,12,5.32,TZ,1691429924
234,shitanjing,39.2342,106.3439,296.59,59,42,6.07,CN,1691429925
235,sola,-13.8833,167.55,297.65,78,88,6.86,VU,1691429926
236,karasuk,53.7377,78.0403,290.27,56,2,2.91,RU,1691429926
237,kamiiso,41.8167,140.65,294.32,98,100,4.19,JP,1691429927
238,alice springs,-23.7,133.8833,279.9,76,2,0.0,AU,1691429927
239,arroyo,41.6096,-4.7969,307.08,20,0,2.57,ES,1691429927
240,puerto baquerizo moreno,-0.9,-89.6,299.7,69,75,6.69,EC,1691429928
241,tam ky,15.5667,108.4833,298.75,74,33,3.14,VN,1691429929
242,minas de marcona,-15.2119,-75.1103,291.62,56,5,5.95,PE,1691429929
243,nizhnesortymskiy,62.4397,71.7603,292.61,48,0,3.67,RU,1691429929
244,sakakah,29.9697,40.2064,307.91,11,0,4.63,SA,1691429930
245,ocean shores,46.9737,-124.1563,293.68,93,100,4.12,US,1691429930
246,daru,-9.0763,143.2092,294.7,92,62,2.07,PG,1691429931
247,canete,-37.8,-73.4,287.98,55,98,1.29,CL,1691429931
248,guatrache,-37.6678,-63.5302,286.1,27,0,3.32,AR,1691429932
249,igarka,67.4667,86.5833,288.47,68,100,3.16,RU,1691429932
250,ponta delgada,37.7333,-25.6667,297.55,73,40,2.06,PT,1691429932
251,lupane,-18.9315,27.807,293.01,32,41,1.51,ZW,1691429933
252,punta alta,-38.8759,-62.0736,285.97,39,1,1.95,AR,1691429848
253,piti village,13.4626,144.6933,300.64,92,100,2.06,GU,1691429934
254,selfoss,63.9331,-20.9971,288.17,63,66,2.2,IS,1691429935
255,mutuali,-14.8706,37.0044,294.51,57,100,2.42,MZ,1691429935
256,hotan,37.0997,79.9269,298.26,44,100,4.07,CN,1691429935
257,arevalo,41.0626,-4.7204,307.21,11,0,4.56,ES,1691429936
258,olonkinbyen,70.9221,-8.7187,277.54,83,14,3.04,SJ,1691429936
259,fort bragg,35.139,-79.006,306.04,58,20,5.14,US,1691429937
260,zheleznogorsk-ilimskiy,56.5768,104.1217,287.95,96,84,1.47,RU,1691429937
261,gornyy,55.1153,83.9059,288.5,66,19,1.55,RU,1691429938
262,fort st. john,56.2499,-120.8529,292.09,77,75,1.03,CA,1691429638
263,vilyuchinsk,52.9306,158.4028,282.3,89,47,4.01,RU,1691429938
264,lorengau,-2.0226,147.2712,300.84,74,95,6.98,PG,1691429939
265,happy valley-goose bay,53.3168,-60.3315,290.32,72,75,4.63,CA,1691429939
266,sinjar,36.3209,41.8754,309.47,17,0,6.31,IQ,1691429940
267,remire-montjoly,4.9167,-52.2667,305.17,58,18,6.69,GF,1691429940
268,ust'-kulom,61.6864,53.6902,289.01,74,29,3.92,RU,1691429941
269,linfen,36.0889,111.5189,299.72,60,91,0.38,CN,1691429942
270,fale old settlement,-9.3852,-171.2468,301.1,68,25,6.39,TK,1691429943
271,katsuura,35.1333,140.3,299.37,90,72,3.53,JP,1691429943
272,pacific grove,36.6177,-121.9166,297.81,86,0,4.02,US,1691429944
273,warrnambool,-38.3833,142.4833,276.67,89,0,2.56,AU,1691429945
274,itaituba,-4.2761,-55.9836,308.24,52,40,2.57,BR,1691429945
275,tamanrasset,22.785,5.5228,309.1,15,40,8.23,DZ,1691429945
276,yorkton,51.2167,-102.4677,294.06,64,75,4.63,CA,1691429751
277,iskateley,67.6803,53.1512,281.33,88,6,5.14,RU,1691429947
278,dhidhdhoo,6.8833,73.1,301.2,79,100,6.02,MV,1691429948
279,massena,44.9281,-74.8919,296.66,78,100,2.57,US,1691429763
280,nadigaon,26.1167,79.0333,300.89,74,95,5.82,IN,1691429948
281,wakkanai,45.4094,141.6739,289.87,90,100,3.13,JP,1691429949
282,st. john's,47.5649,-52.7093,290.19,94,100,9.26,CA,1691429911
283,kavaratti,10.5669,72.642,301.22,76,100,8.56,IN,1691429950
284,whiteville,34.3388,-78.7031,307.62,60,0,3.6,US,1691429695
285,kapa'a,22.0752,-159.319,300.33,89,100,5.66,US,1691429951
286,tibati,6.4667,12.6333,293.76,92,90,1.1,CM,1691429951
287,tazovsky,67.4667,78.7,288.17,63,0,2.89,RU,1691429952
288,santa ana,33.7456,-117.8678,307.87,65,0,2.06,US,1691429952
289,olinda,-8.0089,-34.8553,301.0,69,40,7.2,BR,1691429953
290,chynadiyovo,48.4818,22.8217,286.52,90,88,3.17,UA,1691429953
291,jha-jha,24.7667,86.3667,299.31,89,100,2.62,IN,1691429954
292,lata,40.1629,-8.3327,306.52,18,0,3.79,PT,1691429954
293,nikolayevsk-on-amure,53.1406,140.73,288.88,62,6,0.3,RU,1691429955
294,dennery,13.8996,-60.8879,305.2,95,75,10.29,LC,1691429955
295,krasnyy chikoy,50.3643,108.7512,285.8,96,37,1.38,RU,1691429956
296,la'ie,21.6477,-157.9253,300.13,86,19,8.1,US,1691429956
297,loikaw,19.6742,97.2094,293.34,98,100,1.56,MM,1691429957
298,mili,6.0815,171.735,300.88,79,100,4.15,MH,1691429958
299,yutan,28.25,112.55,299.96,94,100,1.72,CN,1691429958
300,utrik,11.2278,169.8474,301.45,75,73,8.23,MH,1691429959
301,shevchenko,48.5,35.0,300.61,38,0,2.35,UA,1691429959
302,kalaoa,19.7286,-155.9817,298.94,67,0,3.09,US,1691429960
303,acarau,-2.8856,-40.12,303.61,55,19,10.44,BR,1691429961
304,san antonio de pale,-1.4014,5.6325,296.15,74,15,3.09,GQ,1691429961
305,zeya,53.75,127.2667,289.53,53,100,0.93,RU,1691429962
306,ingeniero jacobacci,-41.3427,-69.5448,281.71,39,88,9.59,AR,1691429962
307,marsa alam,25.0757,34.8918,306.68,34,1,1.61,EG,1691429962
308,barakani,-12.1356,44.4317,297.64,75,32,5.55,KM,1691429963
309,szentlorinc,46.0402,17.9872,292.64,72,70,2.53,HU,1691429963
310,menongue,-14.6585,17.691,290.97,31,0,2.04,AO,1691429964
311,mount isa,-20.7333,139.5,284.02,66,86,3.09,AU,1691429964
312,sinabang,2.4803,96.3801,298.42,91,100,4.23,ID,1691429965
313,oshawa,43.9001,-78.8496,298.38,80,75,4.63,CA,1691429854
314,saipan,15.1355,145.701,300.54,100,40,0.0,MP,1691429966
315,vryburg,-26.9566,24.7284,287.07,20,0,2.49,ZA,1691429966
316,khamis mushait,18.3064,42.7292,297.49,64,0,2.57,SA,1691429967
317,caxito,-8.5785,13.6643,294.52,78,42,3.5,AO,1691429967
318,keflavik,64.0049,-22.5624,286.39,82,75,3.6,IS,1691429968
319,riviere-du-loup,47.8304,-69.5342,288.3,88,100,3.09,CA,1691429732
320,tual,-5.6667,132.75,299.09,76,38,9.49,ID,1691429969
321,strelka,58.0728,93.0344,285.56,86,39,1.52,RU,1691429969
322,cambria,35.5641,-121.0808,306.58,47,0,3.34,US,1691429969
323,trairi,-3.2778,-39.2689,305.59,40,33,8.33,BR,1691429970
324,nyrob,60.733,56.7202,289.63,83,34,2.96,RU,1691429970
325,tra vinh,9.9347,106.3453,298.99,89,0,2.91,VN,1691429971
326,talcahuano,-36.7167,-73.1167,286.97,51,0,4.12,CL,1691429971
